DATE,LORSGPORESQ661S,gdp_spain_filtered
1994-01-01,64.2513438867438,-0.692795
1994-04-01,64.3922166614403,-0.88121
1994-07-01,64.9034876799505,-0.652429
1994-10-01,65.1463717742546,-0.772779
1995-01-01,65.89036646591,-0.331284
1995-04-01,66.2990562273221,-0.319783
1995-07-01,66.5666904852495,-0.505666
1995-10-01,67.0726343043272,-0.447232
1996-01-01,67.4690745088577,-0.549671
1996-04-01,67.9672231553745,-0.569182
1996-07-01,68.5496339052886,-0.527463
1996-10-01,68.9152646182685,-0.763296
1997-01-01,69.614974155291,-0.656732
1997-04-01,70.2463831327314,-0.658886
1997-07-01,71.0819513915311,-0.468141
1997-10-01,72.0622871407493,-0.152409
1998-01-01,72.6936961181896,-0.241734
1998-04-01,73.5136740318674,-0.152676
1998-07-01,74.2081867871825,-0.217561
1998-10-01,75.0233391178463,-0.173915
1999-01-01,75.7724180810884,-0.214307
1999-04-01,76.6710901177628,-0.114371
1999-07-01,77.6904017297859,0.095101
1999-10-01,78.5716274278714,0.155971
2000-01-01,79.8285062036582,0.581402
2000-04-01,80.8281442849321,0.745913
2000-07-01,81.7004612143765,0.78502
2000-10-01,82.5423398509637,0.79678
2001-01-01,83.4187399660353,0.844684
2001-04-01,84.0353009957405,0.652836
2001-07-01,84.8185302387736,0.623873
2001-10-01,85.4053953730083,0.419533
2002-01-01,85.7687988938279,0.019518
2002-04-01,86.4677660334636,-0.067575
2002-07-01,87.0008073571581,-0.299111
2002-10-01,87.6626546274557,-0.410973
2003-01-01,88.4785493555063,-0.384727
2003-04-01,88.939578132685,-0.666924
2003-07-01,89.5260720682263,-0.835357
2003-10-01,90.3000213439249,-0.839586
2004-01-01,90.8445698271142,-1.036182
2004-04-01,91.7321059029872,-0.937849
2004-07-01,92.5947716664037,-0.856466
2004-10-01,93.2284078360044,-0.957747
2005-01-01,94.1385870321736,-0.819572
2005-04-01,94.968958509266,-0.733816
2005-07-01,95.8873040766896,-0.559506
2005-10-01,96.8594734546534,-0.321217
2006-01-01,97.9686151504746,0.051172
2006-04-01,98.9181414081422,0.325696
2006-07-01,99.8372293729526,0.611368
2006-10-01,100.797149194035,0.96921
2007-01-01,101.719206748392,1.341896
2007-04-01,102.630870739335,1.755222
2007-07-01,103.417811969302,2.124067
2007-10-01,104.082628829147,2.453617
2008-01-01,104.307204038642,2.499919
2008-04-01,104.42116203751,2.517755
2008-07-01,104.228881114338,2.353861
2008-10-01,102.546608635938,1.090624
2009-01-01,99.874720440984,-0.894705
2009-04-01,99.863955678876,-0.789933
2009-07-01,100.074796536716,-0.48168
2009-10-01,100.05438060858,-0.325211
2010-01-01,100.026169507883,-0.152192
2010-04-01,100.176133780009,0.178221
